Fecha,Dia,Horas,Minutos,Inicio,Finalizacion,Origen,Destino,Km,Ruta
2025-03-05,Miercoles,1,2,9:52,10:54,Casa,SDR,47,Autopista
2025-03-05,Miercoles,0,47,19:18,20:11,SDR,Casa,44,Autopista
2025-03-06,Jueves,1,27,8:37,10:04,Casa,SDF,49,Autopista
2025-03-06,Jueves,0,43,20:30,21:13,SDR,Casa,45,Autopista
2025-03-10,Lunes,1,24,8:23,9:47,Casa,SDF,49,Autopista
2025-03-10,Lunes,0,48,13:24,14:12,SDF,Casa,47,Autopista
2025-03-11,Martes,1,17,8:43,10:00,Casa,SDR,46,Autopista
2025-03-11,Martes,0,55,12:15,13:10,SDR,Casa,46,Autopista
2025-03-12,Miercoles,0,58,10:03,11:01,Casa,SDR,47,Autopista
2025-03-12,Miercoles,0,48,19:18,20:07,SDR,Casa,44,Autopista
2025-03-13,Jueves,1,20,8:41,10:01,Casa,SDF,45,Autopista
2025-03-13,Jueves,1,15,18:11,19:25,SDR,Casa,44,Autopista
2025-03-17,Lunes,1,25,8:32,9:57,Casa,SDF,49,Autopista
2025-03-17,Lunes,0,45,13:55,14:40,SDF,Casa,49,Autopista
2025-03-18,Martes,1,18,8:42,10:00,Casa,SDR,43,Alternativa
2025-03-18,Martes,0,42,10:57,11:38,SDR,Casa,44,Autopista
2025-03-19,Miercoles,0,50,10:07,10:57,Casa,SDR,46,Autopista
2025-03-19,Miercoles,0,52,19:07,19:59,SDR,Casa,44,Autopista
2025-03-20,Jueves,1,41,8:21,10:03,Casa,SDF,50,Autopista
2025-03-20,Jueves,1,9,13:32,14:40,SDF,Casa,50,Autopista
2025-03-25,Martes,1,21,8:38,9:59,Casa,SDR,44,Alternativa
2025-03-25,Martes,1,5,12:15,13:20,SDR,Casa,44,Autopista
2025-03-26,Miercoles,1,3,9:58,11:01,Casa,SDR,42,Alternativa
2025-03-26,Miercoles,0,49,19:23,20:13,SDR,Casa,44,Autopista
2025-03-27,Jueves,1,58,8:26,10:24,Casa,SDF,50,Autopista
2025-03-27,Jueves,0,52,13:51,14:43,SDF,Casa,50,Autopista
2025-03-31,Lunes,1,34,8:27,10:01,Casa,SDF,49,Autopista
2025-03-31,Lunes,0,43,20:06,20:49,SDR,Casa,45,Autopista
2025-04-01,Martes,1,23,8:30,9:54,Casa,SDR,44,Alternativa
2025-04-01,Martes,0,43,12:06,12:49,SDR,Casa,44,Autopista
2025-04-03,Jueves,1,46,8:07,9:53,Casa,SDF,50,Autopista
2025-04-03,Jueves,1,2,16:01,17:03,SDR,Casa,44,Autopista
2025-04-07,Lunes,1,34,8:10,9:44,Casa,SDF,49,Autopista
2025-04-07,Lunes,0,44,13:25,14:09,SDF,Casa,49,Autopista
2025-04-08,Martes,1,26,8:33,9:59,Casa,SDR,44,Autopista
2025-04-08,Martes,0,43,12:12,12:54,SDR,Casa,45,Autopista
2025-04-09,Miercoles,0,53,10:14,11:07,Casa,SDR,46,Autopista
2025-04-09,Miercoles,0,44,20:02,20:46,SDR,Casa,45,Autopista
2025-04-14,Lunes,1,18,8:37,9:55,Casa,SDF,50,Autopista
2025-04-14,Lunes,0,44,13:24,14:08,SDF,Casa,49,Autopista
2025-04-16,Miercoles,0,51,14:47,15:37,Casa,SDR,45,Autopista
2025-04-16,Miercoles,0,45,22:25,23:10,SDR,Casa,45,Autopista
2025-04-22,Martes,0,48,16:35,17:23,Casa,SDR,45,Autopista
2025-04-22,Martes,0,45,22:04,22:49,SDR,Casa,45,Autopista
2025-04-23,Jueves,1,21,8:30,9:51,Casa,SDF,49,Autopista
2025-04-23,Jueves,0,46,21:35,22:21,SDF,Casa,49,Autopista
